Date,KO,Home person,Home team,Home score,Away score,Away team,Away person,Round,Status
2024-06-14,19:00,Mary,Germany,5,1,Scotland,Brendan,Group stage,Finished
2024-06-15,13:00,Sam,Hungary,1,3,Switzerland,Hugo,Group stage,Finished
2024-06-15,16:00,Brendan,Spain,3,0,Croatia,Adrian,Group stage,Finished
2024-06-15,19:00,Isaac,Italy,2,1,Albania,Scott,Group stage,Finished
2024-06-16,13:00,Mary,Poland,1,2,Netherlands,Alex,Group stage,Finished
2024-06-16,16:00,Isaac,Slovenia,1,1,Denmark,Scott,Group stage,Finished
2024-06-16,19:00,Alex,Serbia,0,1,England,Hugo,Group stage,Finished
2024-06-17,13:00,Adrian,Romania,3,0,Ukraine,Brendan,Group stage,Finished
2024-06-17,16:00,Sam,Belgium,0,1,Slovakia,Hugo,Group stage,Finished
2024-06-17,19:00,Isaac,Austria,0,1,France,Adrian,Group stage,Finished
2024-06-18,16:00,Mary,Turkey,3,1,Georgia,Alex,Group stage,Finished
2024-06-18,19:00,Scott,Portugal,2,1,Czechia,Sam,Group stage,Finished
2024-06-19,13:00,Adrian,Croatia,2,2,Albania,Scott,Group stage,Finished
2024-06-19,16:00,Mary,Germany,2,0,Hungary,Sam,Group stage,Finished
2024-06-19,19:00,Brendan,Scotland,1,1,Switzerland,Hugo,Group stage,Finished
2024-06-20,13:00,Isaac,Slovenia,1,1,Serbia,Alex,Group stage,Finished
2024-06-20,16:00,Scott,Denmark,1,1,England,Hugo,Group stage,Finished
2024-06-20,19:00,Brendan,Spain,1,0,Italy,Isaac,Group stage,Finished
2024-06-21,13:00,Hugo,Slovakia,1,2,Ukraine,Brendan,Group stage,Finished
2024-06-21,16:00,Mary,Poland,1,3,Austria,Isaac,Group stage,Finished
2024-06-21,19:00,Alex,Netherlands,0,0,France,Adrian,Group stage,Finished
2024-06-22,13:00,Alex,Georgia,1,1,Czechia,Sam,Group stage,Finished
2024-06-22,16:00,Mary,Turkey,0,3,Portugal,Scott,Group stage,Finished
2024-06-22,19:00,Sam,Belgium,2,0,Romania,Adrian,Group stage,Finished
2024-06-23,19:00,Brendan,Scotland,0,1,Hungary,Sam,Group stage,Finished
2024-06-23,19:00,Hugo,Switzerland,1,1,Germany,Mary,Group stage,Finished
2024-06-24,19:00,Scott,Albania,0,1,Spain,Brendan,Group stage,Finished
2024-06-24,19:00,Adrian,Croatia,1,1,Italy,Isaac,Group stage,Finished
2024-06-25,16:00,Adrian,France,1,1,Poland,Mary,Group stage,Finished
2024-06-25,16:00,Alex,Netherlands,2,3,Austria,Isaac,Group stage,Finished
2024-06-25,19:00,Scott,Denmark,0,0,Serbia,Alex,Group stage,Finished
2024-06-25,19:00,Hugo,England,0,0,Slovenia,Isaac,Group stage,Finished
2024-06-26,16:00,Brendan,Ukraine,0,0,Belgium,Sam,Group stage,Finished
2024-06-26,16:00,Hugo,Slovakia,1,1,Romania,Adrian,Group stage,Finished
2024-06-26,19:00,Sam,Czechia,1,2,Turkey,Mary,Group stage,Finished
2024-06-26,19:00,Alex,Georgia,2,0,Portugal,Scott,Group stage,Finished
2024-06-29,16:00,Hugo,Switzerland,2,0,Italy,Isaac,Last 16,Finished
2024-06-29,19:00,Mary,Germany,2,0,Denmark,Scott,Last 16,Finished
2024-06-30,16:00,Hugo,England,,,Slovakia,Hugo,Last 16,Future
2024-06-30,19:00,Brendan,Spain,,,Georgia,Alex,Last 16,Future
2024-07-01,16:00,Adrian,France,,,Belgium,Sam,Last 16,Future
2024-07-01,19:00,Scott,Portugal,,,Slovenia,Isaac,Last 16,Future
2024-07-02,16:00,Adrian,Romania,,,Netherlands,Alex,Last 16,Future
2024-07-02,19:00,Isaac,Austria,,,Turkey,Mary,Last 16,Future
2024-07-05,16:00,,,,,Germany,Mary,Quarter finals,Future
2024-07-06,16:00,,,,,Switzerland,Hugo,Quarter finals,Future
